,Stopped early?,BLEU,SARI,FKGL,loss,nll_loss,warmup_updates,parametrization_budget,beam,dropout,fp16,label_smoothing,lr,lr_scheduler,max_epoch,max_tokens,optimizer,LengthRatio,Levenshtein,WordRank,DepTreeDepth
1,,63.76,37.65,7.44,1.757,0.831,4000,256,8,0.0386,FALSE,0.0556,0.00965,fixed,100,5000,adam,0.129,0.578,0.368,0.895
2,,20.33,26.77,7.81,13.199,7.375,4000,256,5,0.2938,FALSE,0.978,0.065,fixed,100,5000,adam,0.308,0.805,0.2218,0.2032
3,,81.06,40.2,7.26,10.17,6.542,4000,256,9,0.04,FALSE,0.4752,0.0003,fixed,100,5000,adam,0.94,0.32,0.39,0.0258
4,,0.04,17.77,0,13.324,12.722,4000,256,9,0.947005774,FALSE,0.990986758,2.63E-02,fixed,100,5000,adam,0.008097027,0.177034146,0.199805192,0.256753577
5,,74.06,38.58,7.48,12.232,8.243,4000,256,10,0.432039208,FALSE,0.732126807,0.000879238,fixed,100,5000,adam,0.405490703,0.031264535,0.452686446,0.198408331
6,,74.86,40.59,6.8,10.245,9.899,4000,256,4,0.739,FALSE,0.0822,0.000653,fixed,100,5000,adam,0.353,0.35,0.611,0.2627
7,,31.73,28.82,3.16,13.511,12.081,4000,256,10,0.723857014,FALSE,0.902643388,6.61E-05,fixed,100,5000,adam,0.292016131,0.521917072,0.876521533,0.528837974
8,,19.67,25.66,5.22,10.407,3.707,4000,256,10,0.07734625,FALSE,0.650637595,0.004842013,fixed,100,5000,adam,0.412116463,0.265844289,0.891120571,0.935144963
9,,2.84,21.09,2.33,13.433,12.213,4000,256,3,0.735075001,FALSE,0.824613571,3.39E-05,fixed,100,5000,adam,0.035088318,0.94194551,0.914356063,0.258297453
10,,81.59,35.91,8.76,11.01,7.744,4000,256,7,0.248022979,FALSE,0.518855934,0.000273577,fixed,100,5000,adam,0.916766914,0.947159995,0.940107098,0.656220087
11,,3.16,20.22,2.31,10.024,7.387,4000,256,6,0.427591974,FALSE,0.38508569,0.000873786,fixed,100,5000,adam,0.810891059,0.131151766,0.611387141,0.03295271
12,,22.47,26.85,2.19,8.968,8.805,4000,256,8,0.241723078,FALSE,0.030590789,8.04E-06,fixed,100,5000,adam,0.219785767,0.84102969,0.807229312,0.792843084
13,,64.98,33.78,6.82,6.354,2.308,4000,256,9,0.023923827,FALSE,0.317466802,0.005031404,fixed,100,5000,adam,0.470721624,0.935584083,0.044184877,0.606498581
14,,0.36,19.29,4.73,12.111,9.114,4000,256,5,0.812741643,FALSE,0.643306084,0.010570716,fixed,100,5000,adam,0.571550134,0.213104835,0.483057681,0.157398999
15,,33.64,32.46,4.58,12.41,8.966,4000,256,9,0.298108203,FALSE,0.671057351,6.61E-06,fixed,100,5000,adam,0.521321609,0.515603409,0.703257845,0.244326543
16,,0.69,18.56,0,12.365,12.177,4000,256,8,0.811801306,FALSE,0.12514394,0.000193509,fixed,100,5000,adam,0.588258717,0.058739417,0.287639271,0.51857613
17,,18.08,26.13,4.37,11.89,8.119,4000,256,3,0.567790139,FALSE,0.666436483,0.002601396,fixed,100,5000,adam,0.622016408,0.495715514,0.334253683,0.312822675
18,y,0.22,16.98,2.71,5.248,1.475,4000,256,9,0.300486729,FALSE,0.269211909,0.07442984,fixed,100,5000,adam,0.150913486,0.37216664,0.986059939,0.753768425
19,y,0.32,18.36,0.85,13.267,12.396,4000,256,9,0.909884779,FALSE,0.714877135,0.008394135,fixed,100,5000,adam,0.047176031,0.633564272,0.229288303,0.578651709
20,,35.94,30.68,3.38,12.396,8.505,4000,256,10,0.237997415,FALSE,0.702472614,8.33E-05,fixed,100,5000,adam,0.455475143,0.526209045,0.33933377,0.213192872
21,y,0.94,18,7.85,2.786,0.783,4000,256,4,0.368528662,FALSE,0.12460386,0.248027951,fixed,100,5000,adam,0.697138396,0.467604135,0.479087483,0.338082126
22,y,0,16.46,0,1.546,0.834,4000,256,5,0.083085839,FALSE,0.041924394,0.021228092,fixed,100,5000,adam,0.056417114,0.002900469,0.456100814,0.096114397
23,,29.7,34.41,5.42,11.846,9.349,4000,256,2,0.436337697,FALSE,0.53808705,5.45E-05,fixed,100,5000,adam,0.990179983,0.591265223,0.50863608,0.166373313
24,,7.26,21.31,5.47,6.324,6.072,4000,256,4,0.579539833,FALSE,0.027061029,0.006704601,fixed,100,5000,adam,0.500638677,0.472941391,0.164725882,0.49026536
25,y,0.19,18.26,5.09,7.26,2.957,4000,256,9,0.617373064,FALSE,0.356342903,0.3839183,fixed,100,5000,adam,0.936138823,0.402208624,0.447757364,0.352915159
26,y,0.11,17.82,9.53,11.839,3.427,4000,256,6,0.462350507,FALSE,0.825246351,0.503956603,fixed,100,5000,adam,0.82859327,0.26309343,0.122573519,0.102633671
27,,2.17,19.52,0,13.25,11.76,4000,256,2,0.866698393,FALSE,0.908114682,0.002955944,fixed,100,5000,adam,0.345821072,0.179506706,0.281963035,0.126031976
28,,62.03,33.5,5.65,7.948,7.498,4000,256,10,0.366702056,FALSE,0.065266083,5.10E-04,fixed,100,5000,adam,0.613912231,0.974819302,0.814450661,0.877100859
29,,8.23,21.21,4.99,8.522,3.142,4000,256,8,0.589741916,FALSE,0.470861864,4.33E-02,fixed,100,5000,adam,0.210806844,0.025030063,0.027891545,0.17650083
30,,65.42,34.36,5.96,13.313,12.423,4000,256,2,0.811101379,FALSE,0.729904699,0.000134021,fixed,100,5000,adam,0.311887888,0.460521503,0.614311303,0.549977776
31,,35,29.97,2.63,13.265,11.245,4000,256,6,0.610480966,FALSE,0.936967572,0.000598678,fixed,100,5000,adam,0.539920209,0.206652686,0.049256666,0.738046689
32,y (scores didn't change for a few iterations),2.76,19.37,0,13.659,13.541,4000,256,7,0.963569505,FALSE,0.800968983,0.000455207,fixed,100,5000,adam,0.329024355,0.185876744,0.761734342,0.355332009
33,,13.33,24.31,2.72,8.588,6.666,4000,256,7,0.004498881,FALSE,0.247140818,3.72E-04,fixed,100,5000,adam,0.467641306,0.39573449,0.328420761,0.848019494
34,,68.5,35.98,6.21,13.597,13.108,4000,256,8,0.871756578,FALSE,0.937015209,4.14E-05,fixed,100,5000,adam,0.52698038,0.828820979,0.236956369,0.696661023
35,y,2.11,18.96,0,13.664,13.406,4000,256,10,0.978612655,FALSE,0.882074642,0.070616205,fixed,100,5000,adam,0.225990257,0.181828382,0.170080082,0.158287563
36,y,0.04,16.64,6.09,4.609,1.16,4000,256,3,0.804933105,FALSE,0.234820468,0.844882854,fixed,100,5000,adam,0.238885938,0.440039648,0.788385896,0.599844783
37,y,53.57,35.23,5.22,11.48,10.898,4000,256,9,0.613909235,FALSE,0.198319622,9.35E-05,fixed,100,5000,adam,0.673825915,0.647841252,0.319618206,0.631464475
38,y,63.59,39.15,7.05,10.4,8.608,4000,256,8,0.118944759,FALSE,0.31914686,2.62E-05,fixed,100,5000,adam,0.907415577,0.841178918,0.409605331,0.621170745
39,,5.24,23.21,5.21,13.207,12.367,4000,256,4,0.83898097,FALSE,0.66291669,0.00097488,fixed,100,5000,adam,0.94654465,0.35853964,0.69808147,0.20697995
40,,0.51,17.35,0,9.934,8.439,4000,256,7,0.30215621,FALSE,0.26339843,0.0000862,fixed,100,5000,adam,0.35676664,0.06971731,0.22563643,0.2592169
41,,78.41,36.38,7.64,8.163,6.733,4000,256,6,0.0019111,FALSE,0.1842759,0.00062345,fixed,100,5000,adam,0.71542118,0.90897054,0.04438314,0.45284486
42,,0.46,17.96,0,13.545,13.468,4000,256,6,0.95339506,FALSE,0.37533558,0.0000922,fixed,100,5000,adam,0.44256159,0.06170259,0.54854554,0.8661847
43,,47.35,32.9,5.25,10.62,2.249,4000,256,6,0.19579277,FALSE,0.72300244,0.1967915,fixed,100,5000,adam,0.66708882,0.87146707,0.36505472,0.99967216
44,,2.84,21.5,5.85,10.457,9.03,4000,256,6,0.67556399,FALSE,0.27835362,0.00092447,fixed,100,5000,adam,0.97587254,0.01074984,0.06045033,0.84794675
45,,14.07,24.35,1.93,13.044,9.6,4000,256,8,0.45346941,FALSE,0.89385424,0.00141967,fixed,100,5000,adam,0.37400342,0.35448073,0.11370301,0.74399132
46,,68.81,35.65,6.29,12.097,9.349,4000,256,9,0.39620129,FALSE,0.58710585,0.0000282,fixed,100,5000,adam,0.49937193,0.89935331,0.22783762,0.00915672
47,,10.87,23.57,0.63,13.514,13.499,4000,256,9,0.95804862,FALSE,0.08662389,0.0002238,fixed,100,5000,adam,0.18324061,0.52614829,0.47778174,0.92417054
48,,14.24,24.86,3.2,10.453,8.149,4000,256,9,0.10088767,FALSE,0.37751891,0.00000663,fixed,100,5000,adam,0.49022569,0.38977797,0.55371165,0.73349992
49,,1.9,19.76,0.54,13.161,8.596,4000,256,9,0.31505392,FALSE,0.82954296,0.00000748,fixed,100,5000,adam,0.10610456,0.57764901,0.37035413,0.8544267
50,,0.25,17.01,0,13.355,10.224,4000,256,3,0.53330944,FALSE,0.93123976,0.00095488,fixed,100,5000,adam,0.23282306,0.05345089,0.07197122,0.50898728
51,,0.61,17.43,4.35,3.734,1.037,4000,256,7,0.32450771,FALSE,0.17771143,0.11650328,fixed,100,5000,adam,0.14128857,0.65551809,0.61192428,0.72281874
52,,9.26,23.18,2.12,8.513,5.541,4000,256,6,0.20833712,FALSE,0.32629871,0.00549168,fixed,100,5000,adam,0.16343738,0.82871444,0.58154612,0.57904462
53,,39.78,33.62,5.18,13.24,13.015,4000,256,2,0.89313671,FALSE,0.35893463,0.00076858,fixed,100,5000,adam,0.71346224,0.50482229,0.9018636,0.48265917
54,,69.34,35.54,6.17,9.593,8.753,4000,256,5,0.25115136,FALSE,0.15590073,0.0000691,fixed,100,5000,adam,0.61205606,0.75000848,0.9152049,0.54979674
55,,0.46,18.85,2.78,8.5,5.17,4000,256,10,0.24280534,FALSE,0.35156072,0.00594357,fixed,100,5000,adam,0.04786775,0.9484389,0.35435425,0.24190893
56,,17.53,26.16,3.81,13.243,12.866,4000,256,10,0.84807478,FALSE,0.48367467,0.00029001,fixed,100,5000,adam,0.54737883,0.38987075,0.92360786,0.23928958
57,,10.88,22.66,6.14,12.65,4.753,4000,256,3,0.03868992,FALSE,0.90619279,0.03526516,fixed,100,5000,adam,0.60638215,0.54247907,0.54473907,0.83417006
58,,13.78,24.65,1.27,10.187,8.302,4000,256,3,0.36809015,FALSE,0.32535042,0.00068628,fixed,100,5000,adam,0.18016952,0.64873679,0.72939809,0.63906063
