,Run Failed/Stopped Early,BLEU,SARI,FKGL,loss,nll_loss,warmup_updates,parametrization_budget,beam,dropout,fp16,label_smoothing,lr,lr_scheduler,max_epoch,max_tokens,optimizer,LengthRatio,Levenshtein,WordRank,DepTreeDepth,Rec. LengthRatio,Rec. Levenshtein,Rec. WordRank,Rec. DepTreeDepth
64,TRUE,67.77,39.69,7.2,13.105,13.066,4000,256,3,0.8853898381,FALSE,0.06857449906,0.000541696237,fixed,100,5000,adam,0.214798337,0.3151708026,0.0009605586597,0.04847366761,,,,
113,TRUE,72.57,38.26,8.02,14.051,8.747,4000,256,5,0.1807782634,FALSE,0.9800807007,4.17E-05,fixed,100,5000,adam,0.8873417541,0.9397305083,0.5284281426,0.9849272658,,,,
119,TRUE,72.57,38.26,8.02,14.051,8.747,4000,256,5,0.1807782634,FALSE,0.9800807007,4.17E-05,fixed,100,5000,adam,0.8873417541,0.9397305083,0.5284281426,0.9849272658,,,,
54,TRUE,72.79,36.69,7.04,12.755,8.863,4000,256,6,0.2502543182,FALSE,0.7385469142,4.63E-06,fixed,100,5000,adam,0.6857613282,0.7862351164,0.04486896111,0.2539147436,,,,
69,FALSE,0.1853767802,36.56545322,8.659699803,10.436,8.667,4000,256,2,0.1196058647,FALSE,0.3182347886,4.35E-06,fixed,100,5000,adam,0.8402369984,0.7460899603,0.6479291499,0.9258573112,0.95,0.4,0.9,0.7
112,FALSE,0.2678360854,36.40794393,5.925540866,13.587,13.152,4000,256,6,0.8684553392,FALSE,0.8847967942,6.74E-06,fixed,100,5000,adam,0.9013201568,0.6709862378,0.9337117127,0.8294725109,0.65,0.4,0.9,1.05
13,FALSE,0.3845268782,36.35268979,4.925307686,10.998,10.147,4000,256,6,0.6691001359,FALSE,0.2273780557,0.0003895757959,fixed,100,5000,adam,0.9593550523,0.8197981677,0.7061441577,0.08726946351,0.45,0.4,0.75,0.65
83,FALSE,0.2198937839,36.30317126,9.120257183,13.198,13.158,4000,256,9,0.8728858037,FALSE,0.08283219669,8.12E-06,fixed,100,5000,adam,0.7786964114,0.769565717,0.04673603826,0.1624762013,0.95,0.4,0.9,0.7
82,FALSE,0.199105047,36.2474763,9.55517274,11.962,9.131,4000,256,3,0.3567558455,FALSE,0.5749473944,2.48E-05,fixed,100,5000,adam,0.9793131371,0.8217713819,0.9177201881,0.3016600556,0.95,0.4,0.9,0.7
47,FALSE,0.2667534219,36.21024682,7.005986962,9.054,8.589,4000,256,4,0.01322026984,FALSE,0.08144495379,6.40E-06,fixed,100,5000,adam,0.5991636797,0.9831544505,0.6472774646,0.5894387413,0.65,0.4,0.9,0.45
110,FALSE,0.3307518254,35.97810933,8.023185468,11.952,11.217,4000,256,6,0.8132532561,FALSE,0.287305732,0.0005380717908,fixed,100,5000,adam,0.05744403606,0.2375343778,0.920718642,0.5429245735,0.75,0.45,0.8,1.15
120,FALSE,0.3106243696,35.86937078,6.59991363,11.322,10.038,4000,64,2,0.5317153154,FALSE,0.3310286858,8.02E-06,fixed,100,5000,adam,0.5122988156,0.7796140073,0.6683961863,0.04318870876,0.65,0.4,0.9,0.65
67,FALSE,0.1313931987,35.86159198,9.742573452,13.382,11.66,4000,256,2,0.6679247978,FALSE,0.8220199039,6.59E-05,fixed,100,5000,adam,0.8279461768,0.8004929005,0.06718538251,0.2105914162,1.15,0.4,1.05,1.15
105,FALSE,0.1491254709,35.78836056,8.574617683,12.778,12.742,4000,256,6,0.7969131693,FALSE,0.03939800591,4.50E-05,fixed,100,5000,adam,0.9350407799,0.6117025615,0.4334212899,0.3701494367,0.8,0.4,0.8,0.6
6,FALSE,0.09595438738,35.71959907,9.851262477,12.128,8.357,4000,256,8,0.2308804138,FALSE,0.6499984701,7.16E-06,fixed,100,5000,adam,0.7194911373,0.8137306299,0.1632891174,0.003985232095,1.25,0.4,0.8,0.5
35,TRUE,71.36,35.59,6.57,11.564,9.152,4000,256,7,0.3491455489,FALSE,0.4908911502,3.90E-05,fixed,100,5000,adam,0.5589459838,0.9185925618,0.06786697549,0.6833563176,,,,
92,FALSE,0.1522442872,35.57985023,10.67123855,11.663,11.331,4000,256,3,0.6442631838,FALSE,0.1348346288,9.77E-06,fixed,100,5000,adam,0.5911625877,0.8975490415,0.03607526184,0.5541615024,0.8,0.4,0.75,1.2
60,FALSE,0.1753742376,35.446597,5.980820936,13.613,8.629,4000,256,10,0.2521396874,FALSE,0.9660254775,0.0004605381175,fixed,100,5000,adam,0.5958085674,0.6836490724,0.272317639,0.5545959046,0.65,0.4,0.9,1.05
129,FALSE,0.07345806153,35.44363844,12.38340143,13.586,13.384,4000,64,7,0.9390122818,FALSE,0.7364681474,0.0009234910525,fixed,100,5000,adam,0.7033933005,0.8345358529,0.4673197935,0.955361364,0.8,0.4,0.6,1.25
130,FALSE,0.07206739889,35.41754897,11.73079756,13.326,13.309,4000,64,10,0.919057655,FALSE,0.04849376604,7.91E-05,fixed,100,5000,adam,0.9441531344,0.9099449472,0.9100831345,0.1828444983,0.8,0.4,0.6,1.25
2,FALSE,0.17514358,35.39353275,5.05565514,13.694,12.016,4000,256,8,0.6991947949,FALSE,0.9905660782,3.72E-05,fixed,100,5000,adam,0.7662549269,0.694379741,0.1470985137,0.774590603,0.6,0.4,0.85,0.8
68,FALSE,0.1630062233,35.33276716,4.255089745,8.251,8.13,4000,256,5,0.07477955216,FALSE,0.01959720443,4.70E-06,fixed,100,5000,adam,0.5251426439,0.9749809481,0.6730570347,0.6301135343,0.65,0.4,0.9,0.45
48,FALSE,0.7315675769,35.28206508,4.472841694,13.661,13.569,4000,256,10,0.9685978079,FALSE,0.7177399314,0.000164423756,fixed,100,5000,adam,0.7988977394,0.8360739343,0.01234686413,0.6139119778,0.4,0.4,0.7,0.95
50,FALSE,0.4348687273,35.13397116,5.272137885,11.966,9.507,4000,256,2,0.4720611043,FALSE,0.5501637924,7.65E-06,fixed,100,5000,adam,0.598620817,0.965891091,0.06659896753,0.8451155676,0.45,0.4,1.1,0.65
36,TRUE,52.01,34.97,5.33,8.815,8.313,4000,256,7,0.02690616204,FALSE,0.08381875423,7.25E-05,fixed,100,5000,adam,0.6600118067,0.5759064553,0.951267338,0.592822933,,,,
24,TRUE,79.08,34.95,8.06,10.714,8.432,4000,256,6,0.3403028458,FALSE,0.4046920092,0.0003495524332,fixed,100,5000,adam,0.5799641773,0.9826870465,0.2308868694,0.555799269,,,,
4,TRUE,61.55,34.94,5.22,13.074,9.565,4000,256,3,0.4884818342,FALSE,0.8025947927,9.04E-05,fixed,100,5000,adam,0.4438003895,0.7121243476,0.1139972484,0.4875524237,,,,
77,FALSE,0.3977561007,34.64420582,7.923091455,12.655,9.924,4000,256,7,0.5200621921,FALSE,0.682220791,9.17E-06,fixed,100,5000,adam,0.9990405124,0.6948705376,0.5967504972,0.04215969497,1,0.45,1.25,1
61,TRUE,58.98,34.42,5.27,13.337,13.333,4000,256,8,0.9229449747,FALSE,0.01465663912,9.15E-05,fixed,100,5000,adam,0.4703057598,0.8018966687,0.08444567943,0.9431750702,,,,
65,TRUE,61.46,34.36,5.21,12.47,10.276,4000,256,4,0.5639274602,FALSE,0.610451823,0.0002254434498,fixed,100,5000,adam,0.5078851629,0.6844021387,0.8570898457,0.9398407683,,,,
116,TRUE,44.39,34.36,4.62,13.276,12.685,4000,256,10,0.8052468178,FALSE,0.6061086957,9.82E-05,fixed,100,5000,adam,0.6463039029,0.6721480919,0.617619003,0.3634146891,,,,
131,TRUE,44.39,34.36,4.62,13.276,12.685,4000,256,10,0.8052468178,FALSE,0.6061086957,9.82E-05,fixed,100,5000,adam,0.6463039029,0.6721480919,0.617619003,0.3634146891,,,,
81,TRUE,53.33,33.97,5.22,9.57,7.885,4000,256,2,0.3241674195,FALSE,0.2677723007,0.000903535816,fixed,100,5000,adam,0.6095439526,0.6225339525,0.99745778,0.1519835967,,,,
30,TRUE,59.11,33.69,5.26,13.466,13.295,4000,256,4,0.9099110766,FALSE,0.484495915,4.38E-06,fixed,100,5000,adam,0.4917160128,0.6454560625,0.9279543777,0.5312712218,,,,
95,TRUE,29.63,33.54,5.36,13.878,8.595,4000,256,9,0.3127694731,FALSE,0.9665531717,3.17E-05,fixed,100,5000,adam,0.9257339827,0.4863250655,0.3411876713,0.2269036809,,,,
15,TRUE,66.58,33.43,5.58,11.348,9.664,4000,256,2,0.4916558145,FALSE,0.3922394188,8.03E-06,fixed,100,5000,adam,0.3287061411,0.9254391418,0.3175604647,0.783398318,,,,
34,TRUE,43.38,33.3,4.94,9.396,8.672,4000,256,7,0.4598445128,FALSE,0.1337392867,0.0007132085565,fixed,100,5000,adam,0.6594133468,0.5451017035,0.2129778454,0.1015221614,,,,
125,TRUE,62.22,32.41,5.44,12.354,12.045,4000,64,2,0.7934597402,FALSE,0.1874074846,0.0004805009835,fixed,100,5000,adam,0.3055122836,0.9936475611,0.8246963342,0.1671274239,,,,
121,TRUE,48.57,32.26,4.07,13.19,8.647,4000,64,7,0.01458696469,FALSE,0.928280898,0.0007031759616,fixed,100,5000,adam,0.275538538,0.8301094625,0.8221338412,0.7339946339,,,,
75,TRUE,49.28,32.19,4.34,10.929,10.08,4000,256,4,0.5209208418,FALSE,0.2204790152,9.87E-05,fixed,100,5000,adam,0.4099599992,0.6414666865,0.8779475962,0.7072338074,,,,
111,TRUE,25.79,32.17,5.02,9.306,8.448,4000,256,4,0.03630027557,FALSE,0.1470441985,4.24E-05,fixed,100,5000,adam,0.9162854013,0.5171692624,0.8103002949,0.9446794719,,,,
106,TRUE,34.8,31.73,4.68,13.327,12.902,4000,256,6,0.8263500282,FALSE,0.565236835,5.80E-05,fixed,100,5000,adam,0.6368005088,0.5249738467,0.1133207523,0.7175784797,,,,
33,TRUE,42.5,31.6,3.46,12.268,12.165,4000,256,4,0.7226447037,FALSE,0.06626125509,4.43E-05,fixed,100,5000,adam,0.3710678607,0.8296591524,0.3896034956,0.3828891249,,,,
79,TRUE,51.41,31.41,4.87,12.838,12.013,4000,256,10,0.7089954524,FALSE,0.4804017568,6.60E-05,fixed,100,5000,adam,0.2998822673,0.9256859163,0.9260461325,0.2116953532,,,,
94,TRUE,29.53,31.08,4.6,11.849,7.616,4000,256,7,0.2005671615,FALSE,0.665153396,0.0002918931671,fixed,100,5000,adam,0.7178095443,0.4940910559,0.6560111977,0.39726398,,,,
104,TRUE,26.79,31.05,4.84,11.441,10.697,4000,256,5,0.6919414012,FALSE,0.238048041,0.0008488248277,fixed,100,5000,adam,0.7414366292,0.4438552098,0.2474776803,0.9736800175,,,,
85,TRUE,40.71,30.61,3.79,13.593,13.367,4000,256,10,0.9306868302,FALSE,0.7873807769,6.73E-06,fixed,100,5000,adam,0.3195679962,0.7890380238,0.1303168575,0.5272594818,,,,
107,TRUE,35.01,30.43,3.81,13.681,13.676,4000,256,4,0.9806812042,FALSE,0.09225976625,1.62E-05,fixed,100,5000,adam,0.4577872593,0.4693301012,0.03921802331,0.8939420577,,,,
