,Stopped early?,BLEU,SARI,FKGL,loss,nll_loss,warmup_updates,parametrization_budget,beam,dropout,fp16,label_smoothing,lr,lr_scheduler,max_epoch,max_tokens,optimizer,LengthRatio,Levenshtein,WordRank,DepTreeDepth
1,,63.76,37.65,7.44,1.757,0.831,4000,256,8,0.0386,FALSE,0.0556,0.00965,fixed,100,5000,adam,0.129,0.578,0.368,0.895
2,,20.33,26.77,7.81,13.199,7.375,4000,256,5,0.2938,FALSE,0.978,0.065,fixed,100,5000,adam,0.308,0.805,0.2218,0.2032
3,,81.06,40.2,7.26,10.17,6.542,4000,256,9,0.04,FALSE,0.4752,0.0003,fixed,100,5000,adam,0.94,0.32,0.39,0.0258
4,,0.04,17.77,0,13.324,12.722,4000,256,9,0.9470057742,FALSE,0.9909867583,2.63E-02,fixed,100,5000,adam,0.008097026618,0.1770341456,0.1998051921,0.2567535768
5,,74.06,38.58,7.48,12.232,8.243,4000,256,10,0.4320392076,FALSE,0.7321268066,0.00087923843,fixed,100,5000,adam,0.4054907032,0.03126453511,0.4526864464,0.1984083306
6,,74.86,40.59,6.8,10.245,9.899,4000,256,4,0.739,FALSE,0.0822,0.000653,fixed,100,5000,adam,0.353,0.35,0.611,0.2627
7,,31.73,28.82,3.16,13.511,12.081,4000,256,10,0.7238570142,FALSE,0.9026433882,6.61E-05,fixed,100,5000,adam,0.2920161306,0.5219170715,0.8765215331,0.5288379739
8,,19.67,25.66,5.22,10.407,3.707,4000,256,10,0.07734624997,FALSE,0.6506375945,0.004842012779,fixed,100,5000,adam,0.4121164627,0.2658442887,0.8911205713,0.9351449632
9,,2.84,21.09,2.33,13.433,12.213,4000,256,3,0.7350750005,FALSE,0.8246135708,3.39E-05,fixed,100,5000,adam,0.03508831795,0.94194551,0.9143560629,0.2582974531
10,,81.59,35.91,8.76,11.01,7.744,4000,256,7,0.2480229794,FALSE,0.5188559343,0.0002735774198,fixed,100,5000,adam,0.9167669136,0.9471599954,0.9401070984,0.656220087
11,,3.16,20.22,2.31,10.024,7.387,4000,256,6,0.4275919738,FALSE,0.3850856899,0.0008737864637,fixed,100,5000,adam,0.8108910589,0.1311517655,0.6113871414,0.03295271034
12,,22.47,26.85,2.19,8.968,8.805,4000,256,8,0.2417230781,FALSE,0.0305907889,8.04E-06,fixed,100,5000,adam,0.2197857669,0.8410296896,0.8072293116,0.7928430835
13,,64.98,33.78,6.82,6.354,2.308,4000,256,9,0.02392382708,FALSE,0.317466802,0.005031403992,fixed,100,5000,adam,0.4707216241,0.9355840826,0.04418487669,0.6064985806
14,,0.36,19.29,4.73,12.111,9.114,4000,256,5,0.8127416429,FALSE,0.6433060842,0.01057071625,fixed,100,5000,adam,0.5715501342,0.2131048347,0.4830576809,0.1573989988
15,,33.64,32.46,4.58,12.41,8.966,4000,256,9,0.2981082026,FALSE,0.6710573509,6.61E-06,fixed,100,5000,adam,0.5213216092,0.5156034093,0.7032578445,0.2443265428
16,,0.69,18.56,0,12.365,12.177,4000,256,8,0.8118013061,FALSE,0.12514394,0.0001935085716,fixed,100,5000,adam,0.5882587169,0.05873941714,0.2876392712,0.5185761296
17,,18.08,26.13,4.37,11.89,8.119,4000,256,3,0.5677901387,FALSE,0.6664364832,0.00260139609,fixed,100,5000,adam,0.6220164075,0.4957155139,0.3342536825,0.3128226745
18,y,0.22,16.98,2.71,5.248,1.475,4000,256,9,0.3004867292,FALSE,0.2692119093,0.07442983954,fixed,100,5000,adam,0.1509134857,0.3721666403,0.9860599389,0.7537684245
19,y,0.32,18.36,0.85,13.267,12.396,4000,256,9,0.9098847793,FALSE,0.7148771349,0.008394134584,fixed,100,5000,adam,0.04717603095,0.6335642718,0.2292883034,0.5786517086
20,,35.94,30.68,3.38,12.396,8.505,4000,256,10,0.237997415,FALSE,0.7024726142,8.33E-05,fixed,100,5000,adam,0.4554751427,0.5262090453,0.3393337704,0.2131928724
21,y,0.94,18,7.85,2.786,0.783,4000,256,4,0.3685286623,FALSE,0.1246038602,0.2480279507,fixed,100,5000,adam,0.6971383964,0.4676041353,0.4790874825,0.3380821259
22,y,0,16.46,0,1.546,0.834,4000,256,5,0.08308583853,FALSE,0.04192439369,0.02122809225,fixed,100,5000,adam,0.05641711428,0.002900469033,0.4561008139,0.09611439659
23,,29.7,34.41,5.42,11.846,9.349,4000,256,2,0.4363376967,FALSE,0.5380870497,5.45E-05,fixed,100,5000,adam,0.9901799833,0.591265223,0.5086360797,0.1663733128
24,,7.26,21.31,5.47,6.324,6.072,4000,256,4,0.5795398333,FALSE,0.02706102875,0.006704600706,fixed,100,5000,adam,0.5006386774,0.4729413906,0.1647258824,0.4902653602
25,y,0.19,18.26,5.09,7.26,2.957,4000,256,9,0.6173730643,FALSE,0.3563429031,0.3839182998,fixed,100,5000,adam,0.9361388228,0.4022086243,0.447757364,0.3529151588
26,y,0.11,17.82,9.53,11.839,3.427,4000,256,6,0.4623505066,FALSE,0.8252463506,0.5039566026,fixed,100,5000,adam,0.8285932696,0.2630934297,0.122573519,0.1026336712
27,,2.17,19.52,0,13.25,11.76,4000,256,2,0.8666983928,FALSE,0.9081146815,0.002955943963,fixed,100,5000,adam,0.3458210724,0.1795067058,0.2819630353,0.1260319756
28,,62.03,33.5,5.65,7.948,7.498,4000,256,10,0.3667020557,FALSE,0.06526608284,5.10E-04,fixed,100,5000,adam,0.6139122306,0.9748193021,0.8144506607,0.8771008592
29,,8.23,21.21,4.99,8.522,3.142,4000,256,8,0.5897419155,FALSE,0.4708618637,4.33E-02,fixed,100,5000,adam,0.2108068439,0.02503006336,0.02789154523,0.1765008295
30,,65.42,34.36,5.96,13.313,12.423,4000,256,2,0.8111013786,FALSE,0.7299046992,0.0001340206356,fixed,100,5000,adam,0.3118878881,0.4605215034,0.6143113033,0.5499777761
31,,35,29.97,2.63,13.265,11.245,4000,256,6,0.6104809659,FALSE,0.9369675722,0.0005986777575,fixed,100,5000,adam,0.539920209,0.2066526861,0.04925666583,0.7380466885
32,y (scores didn't change for a few iterations),2.76,19.37,0,13.659,13.541,4000,256,7,0.9635695046,FALSE,0.8009689828,0.0004552070442,fixed,100,5000,adam,0.3290243548,0.1858767436,0.7617343422,0.3553320092
33,,13.33,24.31,2.72,8.588,6.666,4000,256,7,0.004498881225,FALSE,0.2471408182,3.72E-04,fixed,100,5000,adam,0.4676413059,0.3957344903,0.3284207612,0.8480194938
34,,68.5,35.98,6.21,13.597,13.108,4000,256,8,0.8717565778,FALSE,0.9370152085,4.14E-05,fixed,100,5000,adam,0.5269803796,0.8288209789,0.2369563687,0.6966610232
35,y,2.11,18.96,0,13.664,13.406,4000,256,10,0.9786126552,FALSE,0.8820746416,0.07061620477,fixed,100,5000,adam,0.2259902572,0.1818283819,0.1700800818,0.1582875628
36,y,0.04,16.64,6.09,4.609,1.16,4000,256,3,0.8049331052,FALSE,0.2348204677,0.844882854,fixed,100,5000,adam,0.2388859375,0.4400396482,0.7883858957,0.5998447833
37,y,53.57,35.23,5.22,11.48,10.898,4000,256,9,0.6139092353,FALSE,0.1983196218,9.35E-05,fixed,100,5000,adam,0.6738259154,0.6478412524,0.3196182056,0.6314644747
38,y,63.59,39.15,7.05,10.4,8.608,4000,256,8,0.1189447585,FALSE,0.3191468599,2.62E-05,fixed,100,5000,adam,0.9074155774,0.8411789178,0.409605331,0.6211707445
39,,5.24,23.21,5.21,13.207,12.367,4000,256,4,0.83898097,FALSE,0.66291669,0.00097488,fixed,100,5000,adam,0.94654465,0.35853964,0.69808147,0.20697995
40,,0.51,17.35,0,9.934,8.439,4000,256,7,0.30215621,FALSE,0.26339843,0.0000862,fixed,100,5000,adam,0.35676664,0.06971731,0.22563643,0.2592169
41,,78.41,36.38,7.64,8.163,6.733,4000,256,6,0.0019111,FALSE,0.1842759,0.00062345,fixed,100,5000,adam,0.71542118,0.90897054,0.04438314,0.45284486
42,,0.46,17.96,0,13.545,13.468,4000,256,6,0.95339506,FALSE,0.37533558,0.0000922,fixed,100,5000,adam,0.44256159,0.06170259,0.54854554,0.8661847
43,,47.35,32.9,5.25,10.62,2.249,4000,256,6,0.19579277,FALSE,0.72300244,0.1967915,fixed,100,5000,adam,0.66708882,0.87146707,0.36505472,0.99967216
44,,2.84,21.5,5.85,10.457,9.03,4000,256,6,0.67556399,FALSE,0.27835362,0.00092447,fixed,100,5000,adam,0.97587254,0.01074984,0.06045033,0.84794675
45,,14.07,24.35,1.93,13.044,9.6,4000,256,8,0.45346941,FALSE,0.89385424,0.00141967,fixed,100,5000,adam,0.37400342,0.35448073,0.11370301,0.74399132
46,,68.81,35.65,6.29,12.097,9.349,4000,256,9,0.39620129,FALSE,0.58710585,0.0000282,fixed,100,5000,adam,0.49937193,0.89935331,0.22783762,0.00915672
47,,10.87,23.57,0.63,13.514,13.499,4000,256,9,0.95804862,FALSE,0.08662389,0.0002238,fixed,100,5000,adam,0.18324061,0.52614829,0.47778174,0.92417054
48,,14.24,24.86,3.2,10.453,8.149,4000,256,9,0.10088767,FALSE,0.37751891,0.00000663,fixed,100,5000,adam,0.49022569,0.38977797,0.55371165,0.73349992
49,,1.9,19.76,0.54,13.161,8.596,4000,256,9,0.31505392,FALSE,0.82954296,0.00000748,fixed,100,5000,adam,0.10610456,0.57764901,0.37035413,0.8544267
50,,0.25,17.01,0,13.355,10.224,4000,256,3,0.53330944,FALSE,0.93123976,0.00095488,fixed,100,5000,adam,0.23282306,0.05345089,0.07197122,0.50898728
51,,0.61,17.43,4.35,3.734,1.037,4000,256,7,0.32450771,FALSE,0.17771143,0.11650328,fixed,100,5000,adam,0.14128857,0.65551809,0.61192428,0.72281874
52,,9.26,23.18,2.12,8.513,5.541,4000,256,6,0.20833712,FALSE,0.32629871,0.00549168,fixed,100,5000,adam,0.16343738,0.82871444,0.58154612,0.57904462
53,,39.78,33.62,5.18,13.24,13.015,4000,256,2,0.89313671,FALSE,0.35893463,0.00076858,fixed,100,5000,adam,0.71346224,0.50482229,0.9018636,0.48265917
54,,69.34,35.54,6.17,9.593,8.753,4000,256,5,0.25115136,FALSE,0.15590073,0.0000691,fixed,100,5000,adam,0.61205606,0.75000848,0.9152049,0.54979674
55,,0.46,18.85,2.78,8.5,5.17,4000,256,10,0.24280534,FALSE,0.35156072,0.00594357,fixed,100,5000,adam,0.04786775,0.9484389,0.35435425,0.24190893
